zhenji,time,weidu,jingdu,shendu,place
3,2024/9/28 1:52,34,86,10,西藏那曲市尼玛县
4,2024/9/26 23:02,41,84,18,新疆巴音郭楞州尉犁县
4,2024/9/26 6:41,41,84,18,新疆巴音郭楞州尉犁县
3,2024/9/26 2:26,41,83,18,新疆阿克苏地区库车市
4,2024/9/25 19:53,42,89,21,新疆吐鲁番市托克逊县
4,2024/9/25 19:29,32,118,12,安徽合肥市肥东县
3,2024/9/25 18:15,38,106,10,宁夏银川市金凤区
3,2024/9/24 12:36,30,104,8,四川乐山市井研县
3,2024/9/24 11:18,41,84,15,新疆巴音郭楞州尉犁县
4,2024/9/23 23:37,23,100,10,云南临沧市双江县
3,2024/9/23 21:52,41,84,10,新疆巴音郭楞州尉犁县
4,2024/9/23 19:20,41,84,15,新疆阿克苏地区库车市
4,2024/9/23 12:30,41,84,20,新疆巴音郭楞州尉犁县
4,2024/9/22 0:58,32,88,10,西藏那曲市申扎县
4,2024/9/28 7:29,41,84,15,新疆阿克苏地区库车市
3,2024/9/28 1:52,34,86,10,西藏那曲市尼玛县
4,2024/9/26 23:02,41,84,18,新疆巴音郭楞州尉犁县
4,2024/9/26 6:41,41,84,18,新疆巴音郭楞州尉犁县
3,2024/9/26 2:26,41,83,18,新疆阿克苏地区库车市
4,2024/9/25 19:53,42,89,21,新疆吐鲁番市托克逊县
4,2024/9/25 19:29,32,118,12,安徽合肥市肥东县
3,2024/9/25 18:15,38,106,10,宁夏银川市金凤区
3,2024/9/24 12:36,30,104,8,四川乐山市井研县
3,2024/9/24 11:18,41,84,15,新疆巴音郭楞州尉犁县
4,2024/9/23 23:37,23,100,10,云南临沧市双江县
3,2024/9/23 21:52,41,84,10,新疆巴音郭楞州尉犁县
4,2024/9/23 19:20,41,84,15,新疆阿克苏地区库车市
4,2024/9/23 12:30,41,84,20,新疆巴音郭楞州尉犁县
4,2024/9/22 0:58,32,88,10,西藏那曲市申扎县
5,2024/9/21 18:51,24,122,20,台湾花莲县
4,2024/9/18 23:09,24,122,10,台湾花莲县海域
5,2024/9/18 20:08,32,118,12,安徽合肥市肥东县
3,2024/9/18 7:52,44,85,15,新疆塔城地区沙湾市
5,2024/9/17 16:33,44,88,32,新疆乌鲁木齐市达坂城区
5,2024/9/15 16:17,41,84,14,新疆巴音郭楞州尉犁县
4,2024/9/14 9:16,28,105,10,四川宜宾市珙县
4,2024/9/14 5:12,32,118,10,安徽合肥市肥东县
5,2024/9/14 2:29,31,87,14,西藏那曲市尼玛县
3,2024/9/14 1:32,41,79,15,新疆克孜勒苏州阿合奇县
4,2024/9/13 20:27,34,85,26,西藏阿里地区改则县
4,2024/9/13 18:01,34,82,10,西藏阿里地区日土县
3,2024/9/13 14:30,41,84,20,新疆巴音郭楞州尉犁县
4,2024/9/13 6:04,32,85,10,西藏那曲市尼玛县
3,2024/9/13 3:38,23,101,10,云南普洱市宁洱县
3,2024/9/13 2:19,41,84,10,新疆阿克苏地区库车市
4,2024/9/11 21:26,39,122,10,辽宁大连市普兰店区
3,2024/9/9 11:05,41,83,18,新疆阿克苏地区库车市
5,2024/9/7 13:16,24,122,20,台湾花莲县海域
4,2024/9/6 18:21,35,84,10,西藏阿里地区改则县
3,2024/9/6 2:22,35,114,15,河南新乡市辉县市
2,2024/9/4 12:44,40,119,15,河北唐山市滦州市
4,2024/9/4 4:34,35,84,10,西藏阿里地区改则县
