震级,time,纬度,经度,深度,place
3.2,2024-09-28 01:52:25,34.45,86.14,10,西藏那曲市尼玛县
4.0,2024-09-26 23:02:22,40.91,84.14,18,新疆巴音郭楞州尉犁县
3.6,2024-09-26 06:41:10,40.89,84.15,18,新疆巴音郭楞州尉犁县
3.3,2024-09-26 02:26:41,41.16,83.39,18,新疆阿克苏地区库车市
3.8,2024-09-25 19:53:34,41.64,88.69,21,新疆吐鲁番市托克逊县
3.8,2024-09-25 19:29:13,32.0,117.61,12,安徽合肥市肥东县
3.3,2024-09-25 18:15:43,38.41,106.26,10,宁夏银川市金凤区
3.3,2024-09-24 12:36:28,29.52,104.12,8,四川乐山市井研县
3.3,2024-09-24 11:18:54,40.91,84.17,15,新疆巴音郭楞州尉犁县
3.6,2024-09-23 23:37:19,23.38,100.06,10,云南临沧市双江县
3.0,2024-09-23 21:52:10,40.86,84.16,10,新疆巴音郭楞州尉犁县
4.2,2024-09-23 19:20:21,41.36,84.01,15,新疆阿克苏地区库车市
4.0,2024-09-23 12:30:06,40.86,84.16,20,新疆巴音郭楞州尉犁县
3.8,2024-09-22 00:58:09,31.56,88.37,10,西藏那曲市申扎县
3.6,2024-09-28 07:29:37,41.36,84.01,15,新疆阿克苏地区库车市
4.5,2024-09-21 18:51:09,24.3,121.6,20,台湾花莲县
4.2,2024-09-18 23:09:51,23.86,122.47,10,台湾花莲县海域
4.7,2024-09-18 20:08:16,31.98,117.6,12,安徽合肥市肥东县
3.0,2024-09-18 07:52:34,44.01,85.25,15,新疆塔城地区沙湾市
4.6,2024-09-17 16:33:03,43.72,88.26,32,新疆乌鲁木齐市达坂城区
4.6,2024-09-15 16:17:02,40.88,84.16,14,新疆巴音郭楞州尉犁县
3.6,2024-09-14 09:16:36,28.08,104.84,10,四川宜宾市珙县
3.9,2024-09-14 05:12:11,31.99,117.62,10,安徽合肥市肥东县
4.7,2024-09-14 02:29:51,31.4,86.53,14,西藏那曲市尼玛县
3.4,2024-09-14 01:32:13,41.08,78.53,15,新疆克孜勒苏州阿合奇县
3.6,2024-09-13 20:27:17,33.66,85.36,26,西藏阿里地区改则县
3.8,2024-09-13 18:01:08,34.01,82.21,10,西藏阿里地区日土县
3.4,2024-09-13 14:30:59,40.88,84.14,20,新疆巴音郭楞州尉犁县
3.8,2024-09-13 06:04:16,31.75,85.36,10,西藏那曲市尼玛县
3.4,2024-09-13 03:38:50,23.12,101.11,10,云南普洱市宁洱县
3.0,2024-09-13 02:19:36,41.37,83.82,10,新疆阿克苏地区库车市
3.7,2024-09-11 21:26:54,39.42,122.21,10,辽宁大连市普兰店区
3.4,2024-09-09 11:05:18,41.11,83.45,18,新疆阿克苏地区库车市
4.7,2024-09-07 13:16:48,23.88,121.8,20,台湾花莲县海域
3.5,2024-09-06 18:21:14,34.57,83.71,10,西藏阿里地区改则县
3.0,2024-09-06 02:22:54,35.37,113.56,15,河南新乡市辉县市
2.0,2024-09-04 12:44:08,39.7,118.6,15,河北唐山市滦州市
3.8,2024-09-04 04:34:40,34.53,83.68,10,西藏阿里地区改则县
3.6,2024-09-03 23:46:57,40.99,78.36,10,新疆克孜勒苏州阿合奇县
5.0,2024-09-02 16:26:24,23.9,121.73,20,台湾花莲县海域
3.8,2024-09-02 07:16:10,40.25,83.23,34,新疆阿克苏地区沙雅县
3.3,2024-09-02 05:21:54,43.39,84.82,15,新疆巴音郭楞州和静县
3.2,2024-09-01 14:53:51,29.75,101.11,15,四川甘孜州雅江县
2.2,2024-09-01 06:11:40,39.68,118.36,9,河北唐山市开平区
3.8,2024-09-01 04:57:20,40.76,109.82,15,内蒙古包头市昆都仑区
4.0,2024-09-01 02:21:40,23.87,121.7,10,台湾花莲县海域
3.1,2024-08-31 18:40:18,28.08,105.15,10,四川宜宾市兴文县
3.2,2024-08-31 02:00:02,39.74,118.61,14,河北唐山市滦州市
2.1,2024-08-30 12:25:26,36.5,102.16,9,青海海东市平安区(有感）
3.0,2024-08-30 04:48:38,36.64,86.95,20,新疆巴音郭楞州且末县
3.1,2024-08-30 02:37:14,42.24,80.61,10,新疆阿克苏地区温宿县
3.1,2024-08-29 23:31:23,41.25,84.1,15,新疆巴音郭楞州轮台县
4.0,2024-08-29 04:14:52,24.15,121.74,25,台湾花莲县海域
3.6,2024-08-28 05:15:00,23.61,100.58,10,云南普洱市景谷县
3.0,2024-08-27 03:44:48,40.88,83.96,14,新疆阿克苏地区库车市
3.3,2024-08-26 09:09:18,41.16,83.46,20,新疆阿克苏地区库车市
3.4,2024-08-25 15:18:28,24.89,99.3,10,云南保山市隆阳区
3.2,2024-08-25 15:02:18,40.93,83.95,16,新疆阿克苏地区库车市
3.4,2024-08-25 14:58:12,40.95,83.97,12,新疆阿克苏地区库车市
3.1,2024-08-23 15:41:03,40.9,84.17,19,新疆巴音郭楞州尉犁县
3.4,2024-08-23 11:01:54,42.99,85.51,15,新疆巴音郭楞州和静县
3.2,2024-08-22 13:13:36,40.96,83.95,20,新疆阿克苏地区库车市
3.2,2024-08-22 09:37:36,40.95,83.95,20,新疆阿克苏地区库车市
3.1,2024-08-22 09:11:19,40.95,83.96,18,新疆阿克苏地区库车市
5.0,2024-08-22 07:38:00,40.92,83.97,15,新疆阿克苏地区库车市
3.8,2024-08-22 05:14:37,41.28,78.74,10,新疆阿克苏地区乌什县
4.6,2024-08-20 23:04:36,22.79,101.03,10,云南普洱市思茅区
3.4,2024-08-18 21:07:31,33.54,121.2,17,江苏盐城市大丰区海域
3.2,2024-08-18 18:21:49,41.26,78.74,15,新疆阿克苏地区乌什县
3.0,2024-08-18 12:17:15,33.15,119.97,8,江苏泰州市兴化市
4.2,2024-08-17 21:10:10,24.41,122.06,10,台湾宜兰县海域
4.0,2024-08-17 06:19:29,23.84,121.54,18,台湾花莲县
3.4,2024-08-17 04:24:02,40.88,84.14,17,新疆巴音郭楞州尉犁县
6.1,2024-08-16 07:35:52,23.74,121.95,16,台湾花莲县海域
3.0,2024-08-16 05:40:46,32.55,84.89,10,西藏阿里地区改则县
4.0,2024-08-15 17:33:05,24.45,121.78,9,台湾宜兰县
5.4,2024-08-15 17:06:46,24.46,121.82,20,台湾宜兰县
3.3,2024-08-15 11:51:34,41.2,83.75,15,新疆阿克苏地区库车市
3.1,2024-08-15 07:38:37,28.13,103.52,11,云南昭通市永善县
3.0,2024-08-14 22:42:59,26.85,100.26,9,云南丽江市古城区
4.3,2024-08-14 09:36:11,40.87,84.15,20,新疆巴音郭楞州尉犁县
3.7,2024-08-14 09:34:41,40.88,84.15,21,新疆巴音郭楞州尉犁县
3.0,2024-08-14 01:45:01,43.37,84.81,15,新疆巴音郭楞州和静县
3.6,2024-08-13 20:08:57,28.22,100.69,19,四川凉山州木里县
3.9,2024-08-10 23:16:42,41.33,83.76,10,新疆阿克苏地区库车市
3.9,2024-08-09 04:06:14,43.74,86.25,20,新疆昌吉州呼图壁县
3.3,2024-08-08 21:32:09,25.35,101.61,10,云南楚雄州牟定县
3.7,2024-08-08 15:13:00,39.39,73.62,10,新疆克孜勒苏州阿克陶县
3.1,2024-08-07 10:44:47,29.55,102.02,9,四川甘孜州泸定县
3.4,2024-08-06 09:32:32,40.3,77.25,10,新疆克孜勒苏州阿图什市
3.0,2024-08-06 05:59:53,38.37,74.89,152,新疆克孜勒苏州阿克陶县
3.3,2024-08-05 22:24:45,38.52,91.7,9,青海海西州茫崖市
3.4,2024-08-05 03:09:38,31.81,101.23,10,四川阿坝州壤塘县
3.1,2024-08-04 00:28:39,29.96,87.01,10,西藏日喀则市昂仁县
3.0,2024-08-03 05:25:01,40.88,84.19,18,新疆巴音郭楞州尉犁县
3.9,2024-08-03 05:19:30,40.84,84.12,21,新疆巴音郭楞州尉犁县
3.1,2024-08-03 05:16:24,40.85,84.12,20,新疆巴音郭楞州尉犁县
3.1,2024-08-02 17:53:18,27.0,101.04,10,云南丽江市宁蒗县
3.0,2024-08-02 06:14:44,38.53,91.67,11,青海海西州茫崖市
